epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.844,1.77687,2.99637,0.728,1.70374,2.00369,0.73122,0.82067,0.78117,0.31942,0.70645,0.79762,0.75448,0.54639,2.20334,1.4744,0.08269,1.83347,2.73954,0.00036674,0.00036674,0.00036674
2,255.772,1.50302,2.4818,0.72753,1.21507,1.79575,0.61632,0.85714,0.72824,0.34835,0.57372,0.78571,0.64839,0.54945,1.815,0.88946,0.11165,1.1197,2.40453,0.000713018,0.000713018,0.000713018
3,381.679,1.41343,2.37087,0.68204,1.16299,1.80103,0.62338,0.79762,0.7886,0.42486,0.57323,0.80708,0.71218,0.498,1.62714,1.22611,0.17548,1.0698,2.2703,0.00102134,0.00102134,0.00102134
4,507.709,1.359,2.15091,0.61314,1.14698,1.73862,0.3332,0.54762,0.44231,0.16731,0.31999,0.57143,0.39262,0.31803,1.95376,1.18426,0.2293,1.36217,2.55593,0.0012917,0.0012917,0.0012917
5,633.478,1.3553,2.07958,0.60535,1.09839,1.74013,0.84451,0.76796,0.79643,0.44825,0.7679,0.77381,0.75114,0.60211,1.62793,0.8845,0.19663,1.01253,2.42787,0.00133693,0.00133693,0.00133693
6,758.957,1.32259,1.81656,0.58963,1.09318,1.71655,0.66397,0.7619,0.68815,0.36715,0.6289,0.78571,0.66059,0.49812,1.58896,0.95055,0.19405,1.07514,2.37953,0.00125442,0.00125442,0.00125442
7,884.755,1.277,1.98654,0.53385,1.07076,1.69208,0.72527,0.76234,0.79256,0.40954,0.7034,0.73868,0.77194,0.58545,1.57067,0.92061,0.21533,1.03868,2.28648,0.0011719,0.0011719,0.0011719
8,1010.56,1.28279,1.85626,0.55111,1.06989,1.68725,0.66352,0.7381,0.76516,0.41835,0.68226,0.7619,0.72502,0.46662,1.44431,1.23005,0.2635,0.93005,2.11299,0.00108938,0.00108938,0.00108938
9,1135.44,1.21865,1.76008,0.53432,0.98886,1.66065,0.83588,0.81523,0.82317,0.45786,0.79699,0.79212,0.75864,0.62721,1.65966,0.73238,0.21924,0.98288,2.36588,0.00100687,0.00100687,0.00100687
10,1261,1.22934,1.69852,0.49036,0.98069,1.63444,0.76552,0.8354,0.84113,0.45714,0.71872,0.78805,0.75933,0.59008,1.55627,0.81717,0.21879,0.94522,2.31996,0.000924352,0.000924352,0.000924352
11,1385.35,1.12419,1.56773,0.25677,0.79066,1.84417,0.79217,0.84001,0.85638,0.50031,0.75901,0.81652,0.80486,0.61654,1.34103,0.87684,0.1732,0.82882,1.93604,0.000841835,0.000841835,0.000841835
12,1509,1.04154,1.40341,0.22029,0.6497,1.76165,0.76911,0.82811,0.87716,0.50919,0.76911,0.82811,0.86532,0.63764,1.57711,0.78411,0.13407,0.86687,2.50543,0.000759318,0.000759318,0.000759318
13,1632.51,1.05307,1.40277,0.18141,0.63202,1.77226,0.79102,0.90062,0.89012,0.52263,0.73788,0.853,0.81548,0.65373,1.4738,0.69227,0.1096,0.88243,2.07987,0.000676802,0.000676802,0.000676802
14,1756.33,1.02369,1.30342,0.16264,0.58867,1.74166,0.79504,0.88882,0.87242,0.48456,0.74116,0.84225,0.79695,0.60153,1.57835,0.75459,0.10452,0.82282,2.35533,0.000594286,0.000594286,0.000594286
15,1880.18,0.95273,1.265,0.14768,0.56569,1.67365,0.76788,0.81946,0.77951,0.452,0.74069,0.79582,0.72649,0.59446,1.46801,0.71923,0.0823,0.8501,2.07893,0.000511769,0.000511769,0.000511769
16,2003.31,0.95064,1.26714,0.14004,0.54533,1.69807,0.78919,0.80952,0.80284,0.48099,0.76316,0.78571,0.75707,0.62912,1.42633,0.65807,0.07572,0.7856,2.02322,0.000429253,0.000429253,0.000429253
17,2126.31,0.89989,1.25621,0.13226,0.51304,1.61675,0.84724,0.86905,0.83743,0.52271,0.79166,0.82143,0.78195,0.67108,1.3782,0.64393,0.06508,0.78351,1.93763,0.000346736,0.000346736,0.000346736
18,2249.23,0.87224,1.23397,0.12678,0.48553,1.58459,0.82462,0.84768,0.82463,0.47913,0.76613,0.80006,0.75054,0.64571,1.5456,0.62127,0.05889,0.86316,2.1243,0.00026422,0.00026422,0.00026422
19,2372.26,0.82511,1.3017,0.12928,0.4655,1.55362,0.79973,0.84251,0.79874,0.50728,0.77173,0.81877,0.75039,0.64691,1.39382,0.61702,0.06101,0.7911,2.0217,0.000181703,0.000181703,0.000181703
20,2494.92,0.81852,1.18421,0.12298,0.4563,1.52198,0.82228,0.84524,0.84067,0.49744,0.76436,0.79762,0.75783,0.63565,1.41305,0.63692,0.06076,0.78328,2.04286,9.91865e-05,9.91865e-05,9.91865e-05
