epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.392,1.0619,1.60774,0.15715,0.99005,1.7931,0.65246,0.79666,0.74107,0.42859,0.61553,0.77417,0.71477,0.56068,1.65998,0.86241,0.0837,1.98328,2.2885,0.00036674,0.00036674,0.00036674
2,253.494,1.11497,1.61218,0.15259,0.94711,1.80999,0.70803,0.71429,0.73347,0.40569,0.6887,0.69048,0.70798,0.56222,1.5659,0.96311,0.08345,1.20883,2.29049,0.000675885,0.000675885,0.000675885
3,378.094,1.08095,1.57735,0.15198,0.93282,1.81897,0.60752,0.73465,0.65692,0.36527,0.547,0.67193,0.58018,0.44677,1.49744,1.00994,0.06608,1.28342,2.21394,0.000909115,0.000909115,0.000909115
4,502.536,1.13901,1.62303,0.15017,0.92572,1.87026,0.55992,0.80139,0.6935,0.33362,0.59486,0.66358,0.62074,0.48328,1.82544,0.93835,0.05349,1.15808,2.46861,0.00106643,0.00106643,0.00106643
5,626.207,1.09495,1.47786,0.14105,0.85316,1.81286,0.77772,0.8083,0.78464,0.4291,0.73844,0.78571,0.72836,0.61103,1.55337,0.76015,0.05634,1.28547,2.22424,0.00100687,0.00100687,0.00100687
6,750.97,1.09923,1.45674,0.12001,0.78078,1.8056,0.66803,0.88095,0.8232,0.41732,0.63441,0.83333,0.7691,0.6141,1.5088,0.90929,0.04891,1.1484,2.07734,0.000841835,0.000841835,0.000841835
7,873.769,1.05679,1.46781,0.12181,0.73874,1.78261,0.7997,0.78171,0.75565,0.43502,0.76187,0.7381,0.70568,0.55805,1.50742,1.06205,0.05044,1.13519,2.28534,0.000676802,0.000676802,0.000676802
8,996.844,1.02152,1.40859,0.11605,0.71915,1.75001,0.69464,0.81526,0.75355,0.42196,0.6887,0.7381,0.66634,0.56154,1.48138,0.90315,0.0489,1.14852,2.05305,0.000511769,0.000511769,0.000511769
9,1120.38,0.96034,1.32868,0.12195,0.6523,1.68076,0.71957,0.90165,0.80694,0.49069,0.70014,0.87833,0.75372,0.62237,1.37306,0.73484,0.05249,0.9449,1.96804,0.000346736,0.000346736,0.000346736
10,1244.75,0.99245,1.26749,0.12661,0.63793,1.67666,0.76921,0.88811,0.83551,0.50863,0.74657,0.86507,0.78339,0.66432,1.51453,0.71644,0.04693,0.82174,2.08232,0.000181703,0.000181703,0.000181703
