epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.071,1.16521,1.57801,0.52187,1.12941,1.56879,0.67052,0.70238,0.66136,0.30438,0.71092,0.73118,0.72232,0.54975,2.36682,1.07497,0.15577,1.43893,2.83874,0.00036674,0.00036674,0.00036674
2,253.86,1.14689,1.52139,0.43218,0.91185,1.53782,0.66411,0.88466,0.79561,0.41475,0.62998,0.83842,0.73956,0.58866,1.71274,0.9689,0.152,1.13862,2.26341,0.000725395,0.000725395,0.000725395
3,379.443,1.16589,1.65958,0.44184,0.90697,1.60474,0.77528,0.82143,0.78493,0.47254,0.74417,0.79762,0.73304,0.45923,1.33658,1.07139,0.1482,0.94651,2.08882,0.00105875,0.00105875,0.00105875
4,505.107,1.16571,1.64894,0.41991,0.92692,1.59964,0.81982,0.86905,0.84409,0.46707,0.73614,0.78571,0.74142,0.59545,1.59192,0.7761,0.13237,0.88072,2.28159,0.00136679,0.00136679,0.00136679
5,632.331,1.17902,1.61175,0.41795,0.90636,1.59946,0.74066,0.81348,0.754,0.45569,0.71486,0.77859,0.69147,0.5357,1.51485,0.97006,0.15887,0.90076,2.30715,0.00144696,0.00144696,0.00144696
6,758.289,1.14813,1.51888,0.39612,0.92289,1.56965,0.775,0.84524,0.85295,0.44725,0.76093,0.74532,0.76957,0.61958,1.44965,1.1174,0.16168,0.90107,2.21811,0.00139195,0.00139195,0.00139195
7,884.663,1.13862,1.4879,0.3859,0.88635,1.58123,0.5253,0.79762,0.76192,0.3592,0.57814,0.72655,0.70221,0.54135,1.77869,1.19598,0.21257,1.3282,2.77829,0.00133693,0.00133693,0.00133693
8,1010.03,1.15022,1.47307,0.40572,0.93201,1.58572,0.72238,0.79762,0.80784,0.44955,0.72238,0.79762,0.81288,0.60464,1.59457,0.87483,0.16612,0.85664,2.37671,0.00128192,0.00128192,0.00128192
9,1135.23,1.10136,1.48793,0.3999,0.87218,1.55864,0.79776,0.8059,0.82478,0.47338,0.75736,0.82237,0.79753,0.62281,1.62918,0.84536,0.11703,0.93991,2.59822,0.00122691,0.00122691,0.00122691
10,1260.94,1.13443,1.41399,0.37401,0.86564,1.56372,0.70987,0.8207,0.81931,0.44622,0.68868,0.79689,0.79812,0.68227,1.27535,0.72143,0.11233,0.8021,1.99009,0.0011719,0.0011719,0.0011719
11,1386.31,1.17909,1.43469,0.35741,0.86413,1.61401,0.80005,0.93756,0.88773,0.50211,0.75873,0.89103,0.80511,0.65021,1.47687,0.80497,0.10625,0.74769,2.09356,0.00111689,0.00111689,0.00111689
12,1512.11,1.11978,1.39232,0.36752,0.82027,1.57878,0.83822,0.77196,0.74377,0.41611,0.75843,0.78571,0.71452,0.51683,1.5113,0.76799,0.11638,1.02311,2.1876,0.00106188,0.00106188,0.00106188
13,1637.42,1.1041,1.31025,0.35559,0.85902,1.55324,0.67974,0.84524,0.78538,0.46373,0.72259,0.7381,0.70155,0.58177,1.36003,0.77659,0.13588,0.85493,1.95276,0.00100687,0.00100687,0.00100687
14,1762.89,1.104,1.31359,0.33581,0.81262,1.54095,0.7533,0.83834,0.88528,0.46013,0.75268,0.74939,0.82146,0.71227,1.9104,0.6585,0.1437,0.95538,2.59779,0.000951857,0.000951857,0.000951857
15,1888.12,1.05557,1.49174,0.34359,0.78676,1.49669,0.64337,0.89369,0.8492,0.45506,0.61517,0.84799,0.78794,0.66331,1.70268,0.75099,0.11415,0.94387,2.3684,0.000896846,0.000896846,0.000896846
16,2013.62,1.00389,1.25271,0.35249,0.72538,1.46147,0.82519,0.85071,0.84412,0.49233,0.81117,0.78849,0.78547,0.66415,1.46829,0.62501,0.08173,0.85316,2.15472,0.000841835,0.000841835,0.000841835
17,2139.05,1.03295,1.38314,0.3241,0.75595,1.49969,0.74214,0.80952,0.76601,0.43594,0.7063,0.7619,0.71566,0.62034,1.47397,0.6554,0.08544,0.97326,2.14486,0.000786824,0.000786824,0.000786824
18,2264.52,0.99339,1.28986,0.30779,0.73423,1.46455,0.81053,0.88092,0.80137,0.49284,0.77426,0.85714,0.77847,0.6372,1.33706,0.76802,0.09461,0.80997,2.07087,0.000731813,0.000731813,0.000731813
19,2389.8,0.95781,1.25331,0.31089,0.73114,1.43574,0.84101,0.88095,0.87113,0.50905,0.83552,0.83253,0.80549,0.65417,1.45098,0.68164,0.09525,0.73455,2.16342,0.000676802,0.000676802,0.000676802
20,2515.36,1.03889,1.28198,0.30555,0.7596,1.49313,0.81645,0.83333,0.84235,0.48323,0.76812,0.78571,0.78349,0.66487,1.43214,0.64671,0.06806,0.82213,2.07146,0.000621791,0.000621791,0.000621791
21,2640.17,0.87947,1.33139,0.14549,0.55025,1.60437,0.81789,0.84524,0.81331,0.49853,0.79025,0.82143,0.77702,0.66165,1.45851,0.66464,0.06037,0.84363,2.16181,0.00056678,0.00056678,0.00056678
22,2808.51,0.86448,1.23808,0.123,0.47307,1.57758,0.78545,0.89999,0.84026,0.52401,0.76043,0.87628,0.8163,0.68188,1.50651,0.681,0.04785,0.82536,2.11417,0.000511769,0.000511769,0.000511769
23,2933.61,0.81914,1.2001,0.11475,0.46143,1.55412,0.83378,0.88972,0.86632,0.54446,0.76283,0.85419,0.81174,0.6602,1.38836,0.71105,0.04331,0.79842,2.02295,0.000456758,0.000456758,0.000456758
24,3057.57,0.81567,1.22278,0.10062,0.46472,1.53597,0.7824,0.92751,0.8769,0.52493,0.73639,0.88045,0.81973,0.69157,1.30209,0.66521,0.04481,0.74107,1.94785,0.000401747,0.000401747,0.000401747
25,3181.8,0.76087,1.19683,0.10252,0.42984,1.45778,0.8182,0.88611,0.88903,0.54058,0.7723,0.83849,0.84048,0.69512,1.40633,0.64678,0.04827,0.75079,2.11724,0.000346736,0.000346736,0.000346736
26,3306.28,0.75141,1.17043,0.09797,0.41399,1.47856,0.82451,0.90405,0.8673,0.53722,0.80022,0.88048,0.83979,0.71379,1.41488,0.59744,0.04457,0.69581,2.13148,0.000291725,0.000291725,0.000291725
27,3430.11,0.7323,1.16404,0.09714,0.40323,1.46108,0.80711,0.92857,0.86659,0.51474,0.75679,0.88095,0.80217,0.64667,1.49907,0.63698,0.04385,0.75415,2.20525,0.000236714,0.000236714,0.000236714
28,3553.53,0.71435,1.15362,0.09369,0.40068,1.43123,0.76762,0.90066,0.84365,0.54085,0.74404,0.87704,0.81214,0.65972,1.38815,0.62645,0.04463,0.72357,2.11802,0.000181703,0.000181703,0.000181703
29,3676.26,0.69372,1.13565,0.08423,0.38095,1.39426,0.86497,0.86335,0.88619,0.55184,0.81054,0.81656,0.8173,0.67138,1.41637,0.61372,0.03954,0.71779,2.11459,0.000126692,0.000126692,0.000126692
30,3799.91,0.66256,1.16977,0.09376,0.37901,1.38311,0.82609,0.88781,0.88742,0.53431,0.77935,0.84019,0.81619,0.67137,1.44954,0.61957,0.03906,0.73538,2.16186,7.1681e-05,7.1681e-05,7.1681e-05
